Name,Department,Preferred Programme for Supervision (1st Choice),Preferred Programme for Supervision (2nd Choice),Expertise Area 1,Expertise Area 2,Expertise Area 3,standardised Expertise 1,standardised Expertise 2,standardised Expertise 3,standardised Topics
Ali Afzalian Mand,DDSAI,No Preference,No Preference,['Machine Learning Theory'],['AI for Healthcare'],"['Deep Learning', 'Neural Networks']",['Machine Learning'],['AI for Healthcare'],"['Deep Learning', 'Neural Networks']","Machine Learning, AI for Healthcare, Deep Learning, Neural Networks"
Assoc. Prof. Dr Anwar P.P. Abdul Majeed,DDSAI,BSDA,BCS / BSE / BIT,"['Machine Learning', 'Deep Learning']",['Data Analytics'],['Robotics'],"['Machine Learning', 'Deep Learning']",['Data Analytics'],['Robotics'],"Machine Learning, Deep Learning, Data Analytics, Robotics"
Assoc. Prof. Dr Azam Che Idris,DDSAI,BSDA,BCS / BSE / BIT,"['DEEP LEARNING', 'MACHINE LEARNING']",['TIME SERIES ANALYSIS'],['COMPUTER VISION'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],['Computer Vision'],"Deep Learning, Machine Learning, Time Series Analysis, Computer Vision"
Assoc. Prof. Dr Muhammed Basheer Jasser,DDSAI,BCS / BSE / BIT,BSDA,"['Machine Learning', 'Artificial Intelligence']",['Swarm and Evolutionary Computing'],"['Software Engineering', 'Software Modeling']","['Machine Learning', 'Artificial Intelligence']",['Swarm and Evolutionary Computing'],"['Software Engineering', 'Software Engineering']","Machine Learning, Artificial Intelligence, Swarm and Evolutionary Computing, Software Engineering"
Assoc. Prof. Dr Aslina Baharum,DDSAI,BCS / BSE / BIT,BSDA,"['AI-UX', 'UX/UI Research & Design', 'HCI', 'Interaction Design', 'Product/Service Design']","['Software Engineering & Development', 'Information Visualization & Analytics']","['Information and Communication Technology (ICT)/ Information Technology (IT)/ Multimedia/ Information System (IS)', 'Computer Science']","['UX/UI Design', 'UX/UI Design', 'Human-Computer Interaction', 'Interaction Design', 'Product Design']","['Software Engineering', 'Information Visualization']","['Information Technology', 'Computer Science']","UX/UI Design, Human-Computer Interaction, Interaction Design, Product Design, Software Engineering, Information Visualization, Information Technology, Computer Science"
Dr Danish Mahmood Khan,DDSAI,BCS / BSE / BIT,BSDA,"['Neuroscience', 'health', 'Environment']",['Machine Learning\\Deep learning'],"['Computer Vision', 'signal processing']","['Neuroscience', 'Healthcare', 'Environment']",['Deep Learning'],"['Computer Vision', 'Signal Processing']","Neuroscience, Healthcare, Environment, Deep Learning, Computer Vision, Signal Processing"
Dr David Olayemi Alebiosu,DDSAI,BCS / BSE / BIT,BSDA,"['Deep Learning', 'Machine Learning']",['Image Processing'],['Pattern Recognition'],"['Deep Learning', 'Machine Learning']",['Image Processing'],['Pattern Recognition'],"Deep Learning, Machine Learning, Image Processing, Pattern Recognition"
Dr Faris Syahmi Samidi,DDSAI,BCS / BSE / BIT,BSDA,['Applied AI'],['Internet of Things (IoT)'],['Mobile Application Development'],['Artificial Intelligence'],['Internet of Things'],['Mobile Development'],"Artificial Intelligence, Internet of Things, Mobile Development"
Dr Farrukh Hassan,DDSAI,BSDA,BCS / BSE / BIT,['Computer Vision'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],['Computer Vision'],"['Deep Learning', 'Machine Learning']",['Time Series Analysis'],"Computer Vision, Deep Learning, Machine Learning, Time Series Analysis"
Dr Hadyan Hafizh,DDSAI,BCS / BSE / BIT,BCNS,['Applied AI'],['Industrial IoT'],['Deep Learning'],['Artificial Intelligence'],['Internet of Things'],['Deep Learning'],"Artificial Intelligence, Internet of Things, Deep Learning"
Dr Javid Iqbal Thirupattur,DDSAI,BCS / BSE / BIT,BSDA,"['Mixed Reality', 'AR', 'VR']",['IoT '],[],"['Mixed Reality', 'Augmented Reality', 'Virtual Reality']",['Internet of Things'],[],"Mixed Reality, Augmented Reality, Virtual Reality, Internet of Things"
Dr Mohd Firdaus Roslan,DDSAI,BCS / BSE / BIT,BSDA,['Applied AI'],['Data Analytics'],"['Artificial Intelligence', 'Machine Learning']",['Artificial Intelligence'],['Data Analytics'],"['Artificial Intelligence', 'Machine Learning']","Artificial Intelligence, Data Analytics, Machine Learning"
Dr Samuel Mofoluwa Ajibade,DDSAI,BSDA,BCS / BSE / BIT,['Machine learning'],['Artificial Intelligence'],['Data Analytics'],['Machine Learning'],['Artificial Intelligence'],['Data Analytics'],"Machine Learning, Artificial Intelligence, Data Analytics"
Dr Sathishkumar Veerappampalayam Easwaramoorthy,DDSAI,No Preference,No Preference,['Data Mining'],['Machine Learning'],[],['Data Mining'],['Machine Learning'],[],"Data Mining, Machine Learning"
Dr Teoh Yun Xin,DDSAI,No Preference,No Preference,['AI'],['Image Processing'],[],['Artificial Intelligence'],['Image Processing'],[],"Artificial Intelligence, Image Processing"
Nurul Aiman Abdul Rahim,DDSAI,BCS / BSE / BIT,BSDA,"['VR', 'AR', 'Computer Graphic']","['UI and UX', 'HCI']",['Machine Learning'],"['Virtual Reality', 'Augmented Reality', 'Computer Graphics']","['UX/UI Design', 'Human-Computer Interaction']",['Machine Learning'],"Virtual Reality, Augmented Reality, Computer Graphics, UX/UI Design, Human-Computer Interaction, Machine Learning"
Prof. Angela Lee Siew Hoong,DDSAI,BSDA,BCS / BSE / BIT,['AI '],['Data Analytics'],['Machine Learning'],['Artificial Intelligence'],['Data Analytics'],['Machine Learning'],"Artificial Intelligence, Data Analytics, Machine Learning"
Prof. Chua Hui Na,DDSAI,BSDA,BCS / BSE / BIT,"['Applied machine learning', 'deep learning', 'AI']",[],[],"['Machine Learning', 'Deep Learning', 'Artificial Intelligence']",[],[],"Machine Learning, Deep Learning, Artificial Intelligence"
Assoc. Prof. Dr Saad Aslam,DSCCR,No Preference,No Preference,"['Wireless Networks', 'Wireless Communication', 'Mobile Cellular Networks']",['Machine Learning'],['Clustering Algorithms & Optimization'],"['Wireless Communication', 'Wireless Communication', 'Wireless Communication']",['Machine Learning'],['Clustering Algorithms & Optimization'],"Wireless Communication, Machine Learning, Clustering Algorithms & Optimization"
Assoc. Prof. Dr Selina Low Yeh Ching,DSCCR,BSDA,No Preference,['Data Analytics'],['Statistical methods in data science'],['Applied AI'],['Data Analytics'],['Data Science'],['Artificial Intelligence'],"Data Analytics, Data Science, Artificial Intelligence"
Assoc. Prof. Dr Sami Salama Hussen Hajjaj,DSCCR,No Preference,No Preference,"['Applied AI', 'GenAI', 'Agentic AI']","['AI applications in Robotics', 'IoT']",['IoT Applications'],"['Artificial Intelligence', 'Generative AI', 'Artificial Intelligence']","['Robotics', 'Internet of Things']",['Internet of Things'],"Artificial Intelligence, Generative AI, Robotics, Internet of Things"
Assoc. Prof. Dr Lee Yun Li,DSCCR,BCS / BSE / BIT,BSDA,['Image and computer vision'],['Machine Learning'],['Data Analytics'],['Computer Vision'],['Machine Learning'],['Data Analytics'],"Computer Vision, Machine Learning, Data Analytics"
Charis Kwan Shwu Chen,DSCCR,BCS / BSE / BIT,BCNS,['Applied AI'],['Development'],['Machine Learning'],['Artificial Intelligence'],['Software Engineering'],['Machine Learning'],"Artificial Intelligence, Software Engineering, Machine Learning"
Dr Aaliya Sarfaraz,DSCCR,BCS / BSE / BIT,BCNS,['Blockchain '],[],[],['Blockchain'],[],[],Blockchain
Dr Ahmad Sahban Rafsanjani,DSCCR,BCNS,No Preference,['Cybersecurity'],['Computer Networking'],[],['Cybersecurity'],['Computer Networking'],[],"Cybersecurity, Computer Networking"
Dr Azizzeanna Hassan,DSCCR,BCS / BSE / BIT,BSDA,['Information System '],['Qualitative study'],[],['Information Systems'],['Qualitative Research'],[],"Information Systems, Qualitative Research"
Dr Brandon Khoo Boo Guan,DSCCR,BCS / BSE / BIT,No Preference,['Computer Vision & Image Processing'],"['Computational Intelligence', 'Deep Learning']",['Generative AI Usage Ethics'],['Computer Vision'],"['Artificial Intelligence', 'Deep Learning']",['Generative AI'],"Computer Vision, Artificial Intelligence, Deep Learning, Generative AI"
Dr Chew Moi Tin,DSCCR,No Preference,No Preference,['Embeded Systems'],['Ultrasound Indoor Localization'],['Automated Test and Measurement Systems'],['Embedded Systems'],['Ultrasound Indoor Localization'],['Automated Test and Measurement Systems'],"Embedded Systems, Ultrasound Indoor Localization, Automated Test and Measurement Systems"
Dr Chin Teck Min,DSCCR,BCS / BSE / BIT,No Preference,['Development'],['Distributed System'],['Software Engineering'],['Software Engineering'],['Distributed Systems'],['Software Engineering'],"Software Engineering, Distributed Systems"
Dr Ghulam Murtaza,DSCCR,BSDA,BCS / BSE / BIT,"['Machine', 'Deep learning']",['Digital Image Processing'],"['Data Analytics', 'Mining']","['Machine Learning', 'Deep Learning']",['Image Processing'],"['Data Analytics', 'Data Mining']","Machine Learning, Deep Learning, Image Processing, Data Analytics, Data Mining"
Dr Maisarah Mansor,DSCCR,No Preference,No Preference,['Photonic Devices'],['Fiber Optic Sensor'],['Nanomaterial for Ultrashort Fiber Laser'],['Photonic Devices'],['Fiber Optic Sensor'],['Nanomaterials'],"Photonic Devices, Fiber Optic Sensor, Nanomaterials"
Dr Mehran Behjati,DSCCR,BCNS,BSDA,['Network'],['AI'],[],['Computer Networking'],['Artificial Intelligence'],[],"Computer Networking, Artificial Intelligence"
Dr Melody Tan Shi Ai,DSCCR,BSDA,BSDA,['Data Analytics'],['Machine Learning'],[],['Data Analytics'],['Machine Learning'],[],"Data Analytics, Machine Learning"
Dr Noor Hafizah Hassan,DSCCR,BSDA,BCS / BSE / BIT,['Information System'],"['Computing study with qualitative & quantitative data (survey,interview)']",[],['Information Systems'],['Qualitative Research'],[],"Information Systems, Qualitative Research"
